94;SUGGESTION 45ˆ;12853;SUGGESTION 45ˆ;45; ; ;2;PLATS;14;DIVERS CUISINE;2;TVA 10%;2;TVA 10%;64;64;SUGGESTIONS; ;; ;SUGGESTION 45ˆ;
95;SUGGESTION 50ˆ;12854;SUGGESTION 50ˆ;50; ; ;2;PLATS;14;DIVERS CUISINE;2;TVA 10%;2;TVA 10%;64;64;SUGGESTIONS; ;; ;SUGGESTION 50ˆ;
96;SUGGESTION 55ˆ;12855;SUGGESTION 55ˆ;55; ; ;2;PLATS;14;DIVERS CUISINE;2;TVA 10%;2;TVA 10%;64;64;SUGGESTIONS; ;; ;SUGGESTION 55ˆ;
97;SUGGESTION 35ˆ;12851;SUGGESTION 35ˆ;35; ; ;2;PLATS;14;DIVERS CUISINE;2;TVA 10%;2;TVA 10%;64;64;SUGGESTIONS; ;; ;SUGGESTION 35ˆ;
98;GELATO CIOCCOLATO 1p;13785;GELATO CIOCCOLATO;4; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;22;DESSERT -->; ;; ;GELATO CIOCCOLATO;
99;CH.BOUTISSE;12857;CH. BOUTISSE;90; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH. BOUTISSE;
100;BOTTARGA 1gr;13799;Bottarga 1gr;1; ; ;1;ENTREE; ; ;2;TVA 10%;2;TVA 10%;64;68;ACCOMPAGNEMENTS; ;; ;BOTTARGA 1gr;
101;SERIOLA SPEZIAL;13802;Seriola SPEZIAL;48; ; ;2;PLATS; ; ;2;TVA 10%;2;TVA 10%;64;19;POISSONS -->; ;; ;SERIOLA SPEZIAL;
102;COCKTAILS MARTINI; ; APERITIFS -->;2,54;;;;;;;;;;;67;65;COCKTAILS MARTINI;;;;;
103;SUPIONS SPEZIAL;13800;SUPIONS SPEZIAL;38; ; ;2;PLATS; ; ;2;TVA 10%;2;TVA 10%;64;19;POISSONS -->; ;; ;SUPIONS SPEZIAL;
104;DENTICI SPEZIAL;13803;Dentici SPEZIAL;48; ; ;2;PLATS; ; ;2;TVA 10%;2;TVA 10%;64;19;POISSONS -->; ;; ;DENTICI SPEZIAL;
105;CHASSE SPLEEN 2008;12865;CHASSE SPLEEN 2008;130; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CHASSE SPLEEN 2008;
106;PIZZA MARGARITA;13804;Pizza Margarita;20; ; ;2;PLATS; ; ;2;TVA 10%;2;TVA 10%;64;20;PIZZA -->; ;; ;PIZZA MARGARITA;
107;LA LAGUNE ROUGE 2011;13085;LA LAGUNE ROUGE 2011;130; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;LA LAGUNE ROUGE 2011;
108;CANTEMERLE 2010;12866;CANTEMERLE 2010;140; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CANTEMERLE 2010;
109;LA DAME DE MONTROSE 2011;13180;LA DAME DE MONTROSE 2011;90; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;LA DAME DE MONTROSE 2011;
110;CH.CALON SEGUR 2003;13185;CH.CALON SEGUR 2003;250; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.CALON SEGUR 2003;
111;CH.COS ESTOURNEL ;12250;CH.COS ESTOURNEL;860; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.COS ESTOURNEL 2010;
112;CH.MONTROSE 2008;12867;CH.MONTROSE 2008;270; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.MONTROSE 2008;
113;CH.GRAND PUY LACOSTE 2008;13188;CH.GRAND PUY LACOSTE 2008;130; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.GRAND PUY LACOSTE 2008;
114;CH. LYNCH BAGES 2011;13186;CH. LYNCH BAGES 2011;270; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH. LYNCH BAGES 2011;
115;LE PETIT MOUTON 2009;12395;LE PETIT MOUTON 2009;490; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;LE PETIT MOUTON 2009;
116;SMOOTHIES FRAGOLA;13805;Smusi Fragola;12; ; ;11;SS ALCOOL; ; ;2;TVA 10%;2;TVA 10%;64;26;COCKTAILS -->; ;; ;SMOOTHIES FRAGOLA;
117;MOUTON ROTHSCHILD 2010;12829;MOUTON ROTHSCHILD 2010;1900; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;MOUTON ROTHSCHILD 2010;
120;LES FORTS DE LATOUR 2011;12830;LES FORTS DE LATOUR 2011;550; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;LES FORTS DE LATOUR 2011;
121;CH.TALBOT 2012;13625;CH.TALBOT 2012;130; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.TALBOT 2012;
122;CLOS DU MARQUIS 2010;13187;CLOS DU MARQUIS 2010;160; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CLOS DU MARQUIS 2010;
123;CH.BEYCHEVELLE 2011;13191;CH.BEYCHEVELLE 2011;260; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.BEYCHEVELLE 2011;
124;CH.LEOVILLE LAS CASES 2006;13627;CH.LEOVILLE LAS CASES 2006;450; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.LEOVILLE LAS CASES 2006;
125;CH.GISCOURS 2012;13181;CH.GISCOURS 2012;160; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.GISCOURS 2012;
126;CH.D'ISSAN;13184;BT.CH. D'ISSAN 2010;170; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;BT.CH. D'ISSAN;
127;CH.RAUZAN SEGLA 2008;13626;CH.RAUZAN SEGLA 2008;250; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.RAUZAN SEGLA 2008;
128;PAVILLON ROUGE 2005;12478;BT.PAVILLON ROUGE 2005;450; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;BT.PAVILLON ROUGE 2005;
129;CH.MARGAUX 08;13629;CH.MARGAUX 08;1400; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%; ; ;64;4;BORDEAUX  -->; ;; ;CH.MARGAUX 08;
130;CH.SMITH HAUT LAFFITE 2011;13630;CH.SMITH HAUT LAFFITE 2011;190; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.SMITH HAUT LAFFITE 2011;
131;CH.HAUT BRION 2006;13189;CH.HAUT BRION 2006;1100; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.HAUT BRION 2006;
132;CH.MARTET 2013;13631;CH.MARTET 2013;80; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.MARTET 2013;
133;CH.GAZIN 2013;13632;CH.GAZIN 2013;180; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.GAZIN 2013;
134;CH.L'EVANGILE;13633;CH.L'EVANGILE;360; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.L'EVANGILE;
135;CH.TROTANOY 2011;13192;CH.TROTANOY 2011;490; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.TROTANOY 2011;
136;CH.LA FLEUR PETRUS 2008;12868;CH.LA FLEUR PETRUS 2008;540; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.LA FLEUR PETRUS 2008;
137;PETRUS 2008;13190;PETRUS 2008;5000; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;PETRUS 2008;
138;CH.PETIT FIGEAC ;12312;CH.PETIT FIGEAC 2012;130; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.PETIT FIGEAC ;
139;CH.FIGEAC 2007;13182;CH.FIGEAC 2007;280; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.FIGEAC 2007;
140;1/2 BT.CH.FIGEAC;13674;1/2 BT.CH.FIGEAC;140; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;1/2 BT.CH.FIGEAC;
141;TERTRE ROTEBOEUF 2006;12628;TERTRE ROTEBOEUF 2006;560; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;TERTRE ROTEBOEUF 2006;
142;CH.ANGELUS 2008;13093;CH.ANGELUS 2008;950; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;4;BORDEAUX  -->; ;; ;CH.ANGELUS 2008;
